d_loss, g_loss
-2.7696311, 4.500372
-5.8379054, 4.682597
-2.099715, 3.3463488
-1.8207495, 4.076394
-2.4302227, 3.8139405
-3.1547146, 4.170291
-3.7006075, 3.6470904
-3.682244, 4.682358
-3.928638, 4.404586
-4.5342045, 4.2154465
-2.6406765, 4.2206254
-4.695307, 3.555677
-2.7767704, 2.7471664
-4.3443418, 4.060398
-2.535479, 2.6796205
-3.916989, 1.9856539
-2.768698, 3.2183566
-2.932069, 3.6424723
-4.5846934, 2.8324914
-6.01755, 3.0426958
-3.640838, 4.7625766
-4.152338, 4.5729403
-3.807695, 4.4184384
-3.5260737, 2.9804623
-4.352249, 3.1042497
-4.0789056, 5.1154995
-3.648268, 3.5608745
-3.4224868, 4.804505
-3.5312686, 1.6573443
-3.3476803, 2.2438943
-4.9105864, 3.4010127
-2.7255363, 3.993415
-2.7801032, 4.167647
-5.5012755, 3.5120535
-2.919954, 3.7776709
-2.5291986, 3.9304967
-2.5158067, 3.7624066
-3.563974, 2.7564995
-6.160984, 3.8834524
-4.1392784, 4.439311
-3.0512798, 4.366468
-2.3709033, 5.800863
-3.7063198, 3.1395712
-3.4364636, 3.6774318
-3.3180032, 2.2181363
-3.017304, 3.9331188
-5.542417, 4.3753514
-4.468058, 5.4243593
-2.9885676, 4.3943157
-3.369748, 4.8771424
-2.0008104, 3.2581363
-4.1409893, 3.9324045
-1.9336548, 4.5921183
-3.4894247, 3.8929286
-3.7771401, 3.615473
-3.2813714, 3.5422301
-4.1550837, 2.8927426
-2.5383487, 3.7064867
-3.2380714, 4.9585447
-3.0556679, 3.9628584
-3.3641114, 2.6718287
-2.2918048, 3.1539028
-3.2315023, 2.4497585
-4.2530932, 3.1188796
-2.8511853, 3.1796885
-1.5669968, 2.8215697
-2.620838, 2.7777545
-3.1443503, 4.9287543
-2.4917881, 4.5842924
-3.624039, 2.5684366
-4.512075, 3.8111105
-3.111416, 3.705017
-3.5207047, 3.3238378
-4.1631193, 3.032877
-3.714149, 4.417724
-3.9250276, 3.4370887
-2.128954, 5.057802
-2.5867014, 3.3849237
-3.1855698, 3.6826954
-2.4464529, 3.8707294
-1.259279, 2.704928
-1.3884156, 3.6700366
-0.7343085, 3.0690908
-4.4135504, 3.3483145
-3.434322, 2.8062153
-3.3367724, 3.4863653
-2.9235568, 4.4842553
-3.8221962, 3.032761
-2.9386997, 3.3403187
-3.7920334, 4.2412205
-3.5365977, 4.230851
-3.7918663, 3.3508887
-3.479488, 4.583862
-2.9105847, 4.0191507
-2.884937, 4.065242
-1.7759737, 3.8700953
-0.55481523, 3.8148415
-0.86620927, 4.484665
-3.348473, 4.861187
-3.4166627, 4.517617
-3.027945, 3.3355606
-4.1576633, 2.4289036
-3.073001, 3.1117191
-6.2621913, 3.022213
-3.2766263, 3.2296088
-3.6917787, 3.915245
-2.3975449, 3.1188655
-4.5480123, 3.9524555
-2.1240869, 4.457206
-4.042939, 4.3190145
-2.5562673, 3.0164495
-2.418376, 4.4890623
-2.1071374, 3.6052117
-3.445266, 3.5324016
-4.694508, 4.7536907
-3.5955951, 4.235366
-2.7254384, 2.9061406
-2.447519, 2.919589
-2.9695296, 2.0224516
-1.7115406, 4.0532656
-5.4608917, 4.2479644
-2.0700989, 3.787453
-3.7007356, 4.84597
